[I 2025-04-07 23:04:15,177] A new study created in RDB with name: adaboost-num_features-7
[I 2025-04-07 23:05:45,282] Trial 0 finished with value: 0.8150755542903134 and parameters: {'n_estimators': 58, 'learning_rate': 0.03213347717758001, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 55, 'min_samples_leaf': 16}. Best is trial 0 with value: 0.8150755542903134.
[I 2025-04-07 23:07:27,642] Trial 1 finished with value: 0.8054327040510595 and parameters: {'n_estimators': 49, 'learning_rate': 0.05077512492386119, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_split': 25, 'min_samples_leaf': 16}. Best is trial 0 with value: 0.8150755542903134.
[I 2025-04-07 23:08:36,919] Trial 2 finished with value: 0.8009898060137666 and parameters: {'n_estimators': 50, 'learning_rate': 0.00020399203583837134, 'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 30, 'min_samples_leaf': 11}. Best is trial 0 with value: 0.8150755542903134.
[I 2025-04-07 23:09:45,393] Trial 3 finished with value: 0.7998156963840432 and parameters: {'n_estimators': 48, 'learning_rate': 0.00013679982117649174, 'criterion': 'gini', 'max_depth': 26, 'min_samples_split': 20, 'min_samples_leaf': 24}. Best is trial 0 with value: 0.8150755542903134.
[I 2025-04-07 23:10:12,898] Trial 4 finished with value: 0.6068251031084542 and parameters: {'n_estimators': 46, 'learning_rate': 3.4943525191064553, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 38, 'min_samples_leaf': 25}. Best is trial 0 with value: 0.8150755542903134.
[I 2025-04-07 23:10:42,884] Trial 5 finished with value: 0.8041341437912631 and parameters: {'n_estimators': 25, 'learning_rate': 0.00018784567023496737, 'criterion': 'log_loss', 'max_depth': 9, 'min_samples_split': 25, 'min_samples_leaf': 21}. Best is trial 0 with value: 0.8150755542903134.
[I 2025-04-07 23:11:38,373] Trial 6 finished with value: 0.8068165978691212 and parameters: {'n_estimators': 34, 'learning_rate': 0.0001593490550127353, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 27, 'min_samples_leaf': 32}. Best is trial 0 with value: 0.8150755542903134.
[I 2025-04-07 23:12:56,673] Trial 7 finished with value: 0.8087449675869547 and parameters: {'n_estimators': 46, 'learning_rate': 0.007003995988163775, 'criterion': 'log_loss', 'max_depth': 25, 'min_samples_split': 18, 'min_samples_leaf': 29}. Best is trial 0 with value: 0.8150755542903134.
[I 2025-04-07 23:14:16,131] Trial 8 finished with value: 0.7488343428911839 and parameters: {'n_estimators': 62, 'learning_rate': 3.757436491544512, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 9, 'min_samples_leaf': 28}. Best is trial 0 with value: 0.8150755542903134.
[I 2025-04-07 23:14:26,021] A new study created in RDB with name: adaboost-num_features-6
[I 2025-04-07 23:15:47,215] Trial 0 finished with value: 0.8153270387533148 and parameters: {'n_estimators': 58, 'learning_rate': 0.03213347717758001, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 55, 'min_samples_leaf': 16}. Best is trial 0 with value: 0.8153270387533148.
[I 2025-04-07 23:16:39,870] Trial 1 finished with value: 0.8038820091343458 and parameters: {'n_estimators': 43, 'learning_rate': 0.0006183654561082861, 'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 25, 'min_samples_leaf': 18}. Best is trial 0 with value: 0.8153270387533148.
[I 2025-04-07 23:17:30,995] Trial 2 finished with value: 0.8088285790099832 and parameters: {'n_estimators': 32, 'learning_rate': 0.23253214068800362, 'criterion': 'entropy', 'max_depth': 16, 'min_samples_split': 62, 'min_samples_leaf': 23}. Best is trial 0 with value: 0.8153270387533148.
[I 2025-04-07 23:18:01,880] Trial 3 finished with value: 0.7899214846914477 and parameters: {'n_estimators': 63, 'learning_rate': 0.03339796737632714, 'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 62, 'min_samples_leaf': 22}. Best is trial 0 with value: 0.8153270387533148.
[I 2025-04-07 23:18:15,173] Trial 4 finished with value: 0.7332846039352547 and parameters: {'n_estimators': 8, 'learning_rate': 6.485266744466933, 'criterion': 'gini', 'max_depth': 18, 'min_samples_split': 21, 'min_samples_leaf': 5}. Best is trial 0 with value: 0.8153270387533148.
[I 2025-04-07 23:18:30,243] Trial 5 finished with value: 0.8023731550747636 and parameters: {'n_estimators': 30, 'learning_rate': 0.26696608987143566, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 20, 'min_samples_leaf': 8}. Best is trial 0 with value: 0.8153270387533148.
[I 2025-04-07 23:18:55,350] Trial 6 finished with value: 0.8044689760851649 and parameters: {'n_estimators': 19, 'learning_rate': 0.001764671609661614, 'criterion': 'log_loss', 'max_depth': 14, 'min_samples_split': 51, 'min_samples_leaf': 18}. Best is trial 0 with value: 0.8153270387533148.
[I 2025-04-07 23:19:31,402] Trial 7 finished with value: 0.7775540759250765 and parameters: {'n_estimators': 28, 'learning_rate': 1.291656339335477, 'criterion': 'entropy', 'max_depth': 12, 'min_samples_split': 31, 'min_samples_leaf': 6}. Best is trial 0 with value: 0.8153270387533148.
[I 2025-04-07 23:19:41,579] Trial 8 finished with value: 0.7995218790252714 and parameters: {'n_estimators': 16, 'learning_rate': 0.0023572787575125496, 'criterion': 'log_loss', 'max_depth': 6, 'min_samples_split': 41, 'min_samples_leaf': 5}. Best is trial 0 with value: 0.8153270387533148.
[I 2025-04-07 23:21:21,998] Trial 9 finished with value: 0.7604486689476172 and parameters: {'n_estimators': 60, 'learning_rate': 1.7499922689787797, 'criterion': 'entropy', 'max_depth': 25, 'min_samples_split': 25, 'min_samples_leaf': 29}. Best is trial 0 with value: 0.8153270387533148.
[I 2025-04-07 23:22:33,559] Trial 10 finished with value: 0.8019951112446645 and parameters: {'n_estimators': 50, 'learning_rate': 0.013517304026985002, 'criterion': 'gini', 'max_depth': 32, 'min_samples_split': 5, 'min_samples_leaf': 12}. Best is trial 0 with value: 0.8153270387533148.
[I 2025-04-07 23:23:42,186] Trial 11 finished with value: 0.8086191989962412 and parameters: {'n_estimators': 42, 'learning_rate': 0.09296849471532127, 'criterion': 'entropy', 'max_depth': 18, 'min_samples_split': 61, 'min_samples_leaf': 26}. Best is trial 0 with value: 0.8153270387533148.
[I 2025-04-07 23:24:49,052] Trial 12 finished with value: 0.8105060793131141 and parameters: {'n_estimators': 49, 'learning_rate': 0.009870754388806836, 'criterion': 'entropy', 'max_depth': 23, 'min_samples_split': 50, 'min_samples_leaf': 32}. Best is trial 0 with value: 0.8153270387533148.
[I 2025-04-07 23:24:59,136] A new study created in RDB with name: adaboost-num_features-5
