[I 2025-04-08 19:29:23,868] A new study created in RDB with name: xgboost-num_features-13
[I 2025-04-08 19:35:49,207] Trial 68 finished with value: 0.8035883675036594 and parameters: {'max_depth': 28, 'learning_rate': 0.0032404208561816923, 'n_estimators': 252, 'gamma': 0.05811546126114263, 'min_child_weight': 7, 'subsample': 0.6495749752446138, 'colsample_bytree': 0.849941848920867}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:35:51,698] Trial 69 finished with value: 0.817632503369586 and parameters: {'max_depth': 27, 'learning_rate': 0.05089019796945378, 'n_estimators': 99, 'gamma': 0.1075297868509698, 'min_child_weight': 6, 'subsample': 0.5000329098929721, 'colsample_bytree': 0.7622482758114661}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:35:57,394] Trial 70 finished with value: 0.6377394866279713 and parameters: {'max_depth': 26, 'learning_rate': 0.0009628919886481465, 'n_estimators': 245, 'gamma': 0.02691471331268576, 'min_child_weight': 7, 'subsample': 0.5604693248934238, 'colsample_bytree': 0.7394011909686856}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:36:02,975] Trial 71 finished with value: 0.8210288527943401 and parameters: {'max_depth': 31, 'learning_rate': 0.012358539538084102, 'n_estimators': 231, 'gamma': 0.17258246441619007, 'min_child_weight': 6, 'subsample': 0.5822015236951141, 'colsample_bytree': 0.87382947117352}. Best is trial 71 with value: 0.8210288527943401.
[I 2025-04-08 19:36:09,476] Trial 72 finished with value: 0.821238426108976 and parameters: {'max_depth': 32, 'learning_rate': 0.012202232998518988, 'n_estimators': 232, 'gamma': 0.1785693039338746, 'min_child_weight': 6, 'subsample': 0.5866437661462373, 'colsample_bytree': 0.8807662800374141}. Best is trial 72 with value: 0.821238426108976.
[I 2025-04-08 19:36:15,208] Trial 73 finished with value: 0.8173393362047303 and parameters: {'max_depth': 30, 'learning_rate': 0.006597449689040099, 'n_estimators': 231, 'gamma': 0.1590609217276627, 'min_child_weight': 6, 'subsample': 0.5797852263784034, 'colsample_bytree': 0.8778033658900039}. Best is trial 72 with value: 0.821238426108976.
[I 2025-04-08 19:36:20,444] Trial 74 finished with value: 0.8197292205932228 and parameters: {'max_depth': 32, 'learning_rate': 0.012798316885836034, 'n_estimators': 204, 'gamma': 0.18902002643214763, 'min_child_weight': 6, 'subsample': 0.6290724439086105, 'colsample_bytree': 0.9057600313450107}. Best is trial 72 with value: 0.821238426108976.
[I 2025-04-08 19:36:26,429] Trial 75 finished with value: 0.8178844622984179 and parameters: {'max_depth': 29, 'learning_rate': 0.030459696221227364, 'n_estimators': 242, 'gamma': 0.14207671662613247, 'min_child_weight': 6, 'subsample': 0.5868572062103359, 'colsample_bytree': 0.8253889489029793}. Best is trial 72 with value: 0.821238426108976.
[I 2025-04-08 19:36:31,532] Trial 76 finished with value: 0.8107988774489906 and parameters: {'max_depth': 31, 'learning_rate': 0.08445327893486129, 'n_estimators': 220, 'gamma': 0.168690784786976, 'min_child_weight': 6, 'subsample': 0.6011630156508652, 'colsample_bytree': 0.8862861366865374}. Best is trial 72 with value: 0.821238426108976.
[I 2025-04-08 19:36:38,145] Trial 77 finished with value: 0.8159139178400909 and parameters: {'max_depth': 32, 'learning_rate': 0.004793056468817222, 'n_estimators': 259, 'gamma': 0.11634158346022766, 'min_child_weight': 6, 'subsample': 0.6216632831296874, 'colsample_bytree': 0.925317889969525}. Best is trial 72 with value: 0.821238426108976.
